harmonico,amplitude,angulo
20.008333,100,0
20.016667,100,0
20.025,100,0
20.033333,100,0
20.041667,100,0
20.05,100,0
20.058333,100,0
20.066667,100,0
20.075,100,0
20.083333,100,0
20.091667,100,0
20.1,100,0
20.108333,100,0
20.116667,100,0
20.125,100,0
20.133333,100,0
20.141667,100,0
20.15,100,0
20.158333,100,0
20.166667,100,0
20.175,100,0
20.183333,100,0
20.191667,100,0
20.2,100,0
20.208333,100,0
20.216667,100,0
20.225,100,0
20.233333,100,0
20.241667,100,0
20.25,100,0
20.258333,100,0
20.266667,100,0
20.275,100,0
20.283333,100,0
20.291667,100,0
20.3,100,0
20.308333,100,0
20.316667,100,0
20.325,100,0
20.333333,100,0
20.341667,100,0
20.35,100,0
20.358333,100,0
20.366667,100,0
20.375,100,0
20.383333,100,0
20.391667,100,0
20.4,100,0
20.408333,100,0
20.416667,100,0
20.425,100,0
20.433333,100,0
20.441667,100,0
20.45,100,0
20.458333,100,0
20.466667,100,0
20.475,100,0
20.483333,100,0
20.491667,100,0
20.5,100,0
20.508333,100,0
20.516667,100,0
20.525,100,0
20.533333,100,0
20.541667,100,0
20.55,100,0
20.558333,100,0
20.566667,100,0
20.575,100,0
20.583333,100,0
20.591667,100,0
20.6,100,0
20.608333,100,0
20.616667,100,0
20.625,100,0
20.633333,100,0
20.641667,100,0
20.65,100,0
20.658333,100,0
20.666667,100,0
20.675,100,0
20.683333,100,0
20.691667,100,0
20.7,100,0
20.708333,100,0
20.716667,100,0
20.725,100,0
20.733333,100,0
20.741667,100,0
20.75,100,0
20.758333,100,0
20.766667,100,0
20.775,100,0
20.783333,100,0
20.791667,100,0
20.8,100,0
20.808333,100,0
20.816667,100,0
20.825,100,0
20.833333,100,0
20.841667,100,0
20.85,100,0
20.858333,100,0
20.866667,100,0
20.875,100,0
20.883333,100,0
20.891667,100,0
20.9,100,0
20.908333,100,0
20.916667,100,0
20.925,100,0
20.933333,100,0
20.941667,100,0
20.95,100,0
20.958333,100,0
20.966667,100,0
20.975,100,0
20.983333,100,0
20.991667,100,0
21.0,100,0
21.008333,100,0
21.016667,100,0
21.025,100,0
21.033333,100,0
21.041667,100,0
21.05,100,0
21.058333,100,0
21.066667,100,0
21.075,100,0
21.083333,100,0
21.091667,100,0
21.1,100,0
21.108333,100,0
21.116667,100,0
21.125,100,0
21.133333,100,0
21.141667,100,0
21.15,100,0
21.158333,100,0
21.166667,100,0
21.175,100,0
21.183333,100,0
21.191667,100,0
21.2,100,0
21.208333,100,0
21.216667,100,0
21.225,100,0
21.233333,100,0
21.241667,100,0
21.25,100,0
21.258333,100,0
21.266667,100,0
21.275,100,0
21.283333,100,0
21.291667,100,0
21.3,100,0
21.308333,100,0
21.316667,100,0
21.325,100,0
21.333333,100,0
21.341667,100,0
21.35,100,0
21.358333,100,0
21.366667,100,0
21.375,100,0
21.383333,100,0
21.391667,100,0
21.4,100,0
21.408333,100,0
21.416667,100,0
21.425,100,0
21.433333,100,0
21.441667,100,0
21.45,100,0
21.458333,100,0
21.466667,100,0
21.475,100,0
21.483333,100,0
21.491667,100,0
21.5,100,0
21.508333,100,0
21.516667,100,0
21.525,100,0
21.533333,100,0
21.541667,100,0
21.55,100,0
21.558333,100,0
21.566667,100,0
21.575,100,0
21.583333,100,0
21.591667,100,0
21.6,100,0
21.608333,100,0
21.616667,100,0
21.625,100,0
21.633333,100,0
21.641667,100,0
21.65,100,0
21.658333,100,0
21.666667,100,0
21.675,100,0
21.683333,100,0
21.691667,100,0
21.7,100,0
21.708333,100,0
21.716667,100,0
21.725,100,0
21.733333,100,0
21.741667,100,0
21.75,100,0
21.758333,100,0
21.766667,100,0
21.775,100,0
21.783333,100,0
21.791667,100,0
21.8,100,0
21.808333,100,0
21.816667,100,0
21.825,100,0
21.833333,100,0
21.841667,100,0
21.85,100,0
21.858333,100,0
21.866667,100,0
21.875,100,0
21.883333,100,0
21.891667,100,0
21.9,100,0
21.908333,100,0
21.916667,100,0
21.925,100,0
21.933333,100,0
21.941667,100,0
21.95,100,0
21.958333,100,0
21.966667,100,0
21.975,100,0
21.983333,100,0
21.991667,100,0
22.0,100,0
22.008333,100,0
22.016667,100,0
22.025,100,0
22.033333,100,0
22.041667,100,0
22.05,100,0
22.058333,100,0
22.066667,100,0
22.075,100,0
22.083333,100,0
22.091667,100,0
22.1,100,0
22.108333,100,0
22.116667,100,0
22.125,100,0
22.133333,100,0
22.141667,100,0
22.15,100,0
22.158333,100,0
22.166667,100,0
22.175,100,0
22.183333,100,0
22.191667,100,0
22.2,100,0
22.208333,100,0
22.216667,100,0
22.225,100,0
22.233333,100,0
22.241667,100,0
22.25,100,0
22.258333,100,0
22.266667,100,0
22.275,100,0
22.283333,100,0
22.291667,100,0
22.3,100,0
22.308333,100,0
22.316667,100,0
22.325,100,0
22.333333,100,0
22.341667,100,0
22.35,100,0
22.358333,100,0
22.366667,100,0
22.375,100,0
22.383333,100,0
22.391667,100,0
22.4,100,0
22.408333,100,0
22.416667,100,0
22.425,100,0
22.433333,100,0
22.441667,100,0
22.45,100,0
22.458333,100,0
22.466667,100,0
22.475,100,0
22.483333,100,0
22.491667,100,0
22.5,100,0
22.508333,100,0
22.516667,100,0
22.525,100,0
22.533333,100,0
22.541667,100,0
22.55,100,0
22.558333,100,0
22.566667,100,0
22.575,100,0
22.583333,100,0
22.591667,100,0
22.6,100,0
22.608333,100,0
22.616667,100,0
22.625,100,0
22.633333,100,0
22.641667,100,0
22.65,100,0
22.658333,100,0
22.666667,100,0
22.675,100,0
22.683333,100,0
22.691667,100,0
22.7,100,0
22.708333,100,0
22.716667,100,0
22.725,100,0
22.733333,100,0
22.741667,100,0
22.75,100,0
22.758333,100,0
22.766667,100,0
22.775,100,0
22.783333,100,0
22.791667,100,0
22.8,100,0
22.808333,100,0
22.816667,100,0
22.825,100,0
22.833333,100,0
22.841667,100,0
22.85,100,0
22.858333,100,0
22.866667,100,0
22.875,100,0
22.883333,100,0
22.891667,100,0
22.9,100,0
22.908333,100,0
22.916667,100,0
22.925,100,0
22.933333,100,0
22.941667,100,0
22.95,100,0
22.958333,100,0
22.966667,100,0
22.975,100,0
22.983333,100,0
22.991667,100,0
23.0,100,0
23.008333,100,0
23.016667,100,0
