harmonico,amplitude,angulo
40.008333,100,0
40.016667,100,0
40.025,100,0
40.033333,100,0
40.041667,100,0
40.05,100,0
40.058333,100,0
40.066667,100,0
40.075,100,0
40.083333,100,0
40.091667,100,0
40.1,100,0
40.108333,100,0
40.116667,100,0
40.125,100,0
40.133333,100,0
40.141667,100,0
40.15,100,0
40.158333,100,0
40.166667,100,0
40.175,100,0
40.183333,100,0
40.191667,100,0
40.2,100,0
40.208333,100,0
40.216667,100,0
40.225,100,0
40.233333,100,0
40.241667,100,0
40.25,100,0
40.258333,100,0
40.266667,100,0
40.275,100,0
40.283333,100,0
40.291667,100,0
40.3,100,0
40.308333,100,0
40.316667,100,0
40.325,100,0
40.333333,100,0
40.341667,100,0
40.35,100,0
40.358333,100,0
40.366667,100,0
40.375,100,0
40.383333,100,0
40.391667,100,0
40.4,100,0
40.408333,100,0
40.416667,100,0
40.425,100,0
40.433333,100,0
40.441667,100,0
40.45,100,0
40.458333,100,0
40.466667,100,0
40.475,100,0
40.483333,100,0
40.491667,100,0
40.5,100,0
40.508333,100,0
40.516667,100,0
40.525,100,0
40.533333,100,0
40.541667,100,0
40.55,100,0
40.558333,100,0
40.566667,100,0
40.575,100,0
40.583333,100,0
40.591667,100,0
40.6,100,0
40.608333,100,0
40.616667,100,0
40.625,100,0
40.633333,100,0
40.641667,100,0
40.65,100,0
40.658333,100,0
40.666667,100,0
40.675,100,0
40.683333,100,0
40.691667,100,0
40.7,100,0
40.708333,100,0
40.716667,100,0
40.725,100,0
40.733333,100,0
40.741667,100,0
40.75,100,0
40.758333,100,0
40.766667,100,0
40.775,100,0
40.783333,100,0
40.791667,100,0
40.8,100,0
40.808333,100,0
40.816667,100,0
40.825,100,0
40.833333,100,0
40.841667,100,0
40.85,100,0
40.858333,100,0
40.866667,100,0
40.875,100,0
40.883333,100,0
40.891667,100,0
40.9,100,0
40.908333,100,0
40.916667,100,0
40.925,100,0
40.933333,100,0
40.941667,100,0
40.95,100,0
40.958333,100,0
40.966667,100,0
40.975,100,0
40.983333,100,0
40.991667,100,0
41.0,100,0
41.008333,100,0
41.016667,100,0
41.025,100,0
41.033333,100,0
41.041667,100,0
41.05,100,0
41.058333,100,0
41.066667,100,0
41.075,100,0
41.083333,100,0
41.091667,100,0
41.1,100,0
41.108333,100,0
41.116667,100,0
41.125,100,0
41.133333,100,0
41.141667,100,0
41.15,100,0
41.158333,100,0
41.166667,100,0
41.175,100,0
41.183333,100,0
41.191667,100,0
41.2,100,0
41.208333,100,0
41.216667,100,0
41.225,100,0
41.233333,100,0
41.241667,100,0
41.25,100,0
41.258333,100,0
41.266667,100,0
41.275,100,0
41.283333,100,0
41.291667,100,0
41.3,100,0
41.308333,100,0
41.316667,100,0
41.325,100,0
41.333333,100,0
41.341667,100,0
41.35,100,0
41.358333,100,0
41.366667,100,0
41.375,100,0
41.383333,100,0
41.391667,100,0
41.4,100,0
41.408333,100,0
41.416667,100,0
41.425,100,0
41.433333,100,0
41.441667,100,0
41.45,100,0
41.458333,100,0
41.466667,100,0
41.475,100,0
41.483333,100,0
41.491667,100,0
41.5,100,0
41.508333,100,0
41.516667,100,0
41.525,100,0
41.533333,100,0
41.541667,100,0
41.55,100,0
41.558333,100,0
41.566667,100,0
41.575,100,0
41.583333,100,0
41.591667,100,0
41.6,100,0
41.608333,100,0
41.616667,100,0
41.625,100,0
41.633333,100,0
41.641667,100,0
41.65,100,0
41.658333,100,0
41.666667,100,0
41.675,100,0
41.683333,100,0
41.691667,100,0
41.7,100,0
41.708333,100,0
41.716667,100,0
41.725,100,0
41.733333,100,0
41.741667,100,0
41.75,100,0
41.758333,100,0
41.766667,100,0
41.775,100,0
41.783333,100,0
41.791667,100,0
41.8,100,0
41.808333,100,0
41.816667,100,0
41.825,100,0
41.833333,100,0
41.841667,100,0
41.85,100,0
41.858333,100,0
41.866667,100,0
41.875,100,0
41.883333,100,0
41.891667,100,0
41.9,100,0
41.908333,100,0
41.916667,100,0
41.925,100,0
41.933333,100,0
41.941667,100,0
41.95,100,0
41.958333,100,0
41.966667,100,0
41.975,100,0
41.983333,100,0
41.991667,100,0
42.0,100,0
42.008333,100,0
42.016667,100,0
42.025,100,0
42.033333,100,0
42.041667,100,0
42.05,100,0
42.058333,100,0
42.066667,100,0
42.075,100,0
42.083333,100,0
42.091667,100,0
42.1,100,0
42.108333,100,0
42.116667,100,0
42.125,100,0
42.133333,100,0
42.141667,100,0
42.15,100,0
42.158333,100,0
42.166667,100,0
42.175,100,0
42.183333,100,0
42.191667,100,0
42.2,100,0
42.208333,100,0
42.216667,100,0
42.225,100,0
42.233333,100,0
42.241667,100,0
42.25,100,0
42.258333,100,0
42.266667,100,0
42.275,100,0
42.283333,100,0
42.291667,100,0
42.3,100,0
42.308333,100,0
42.316667,100,0
42.325,100,0
42.333333,100,0
42.341667,100,0
42.35,100,0
42.358333,100,0
42.366667,100,0
42.375,100,0
42.383333,100,0
42.391667,100,0
42.4,100,0
42.408333,100,0
42.416667,100,0
42.425,100,0
42.433333,100,0
42.441667,100,0
42.45,100,0
42.458333,100,0
42.466667,100,0
42.475,100,0
42.483333,100,0
42.491667,100,0
42.5,100,0
42.508333,100,0
42.516667,100,0
42.525,100,0
42.533333,100,0
42.541667,100,0
42.55,100,0
42.558333,100,0
42.566667,100,0
42.575,100,0
42.583333,100,0
42.591667,100,0
42.6,100,0
42.608333,100,0
42.616667,100,0
42.625,100,0
42.633333,100,0
42.641667,100,0
42.65,100,0
42.658333,100,0
42.666667,100,0
42.675,100,0
42.683333,100,0
42.691667,100,0
42.7,100,0
42.708333,100,0
42.716667,100,0
42.725,100,0
42.733333,100,0
42.741667,100,0
42.75,100,0
42.758333,100,0
42.766667,100,0
42.775,100,0
42.783333,100,0
42.791667,100,0
42.8,100,0
42.808333,100,0
42.816667,100,0
42.825,100,0
42.833333,100,0
42.841667,100,0
42.85,100,0
42.858333,100,0
42.866667,100,0
42.875,100,0
42.883333,100,0
42.891667,100,0
42.9,100,0
42.908333,100,0
42.916667,100,0
42.925,100,0
42.933333,100,0
42.941667,100,0
42.95,100,0
42.958333,100,0
42.966667,100,0
42.975,100,0
42.983333,100,0
42.991667,100,0
43.0,100,0
43.008333,100,0
43.016667,100,0
43.025,100,0
43.033333,100,0
43.041667,100,0
43.05,100,0
43.058333,100,0
43.066667,100,0
43.075,100,0
43.083333,100,0
43.091667,100,0
43.1,100,0
43.108333,100,0
43.116667,100,0
43.125,100,0
43.133333,100,0
43.141667,100,0
43.15,100,0
43.158333,100,0
43.166667,100,0
43.175,100,0
43.183333,100,0
43.191667,100,0
43.2,100,0
43.208333,100,0
43.216667,100,0
43.225,100,0
43.233333,100,0
43.241667,100,0
43.25,100,0
43.258333,100,0
43.266667,100,0
43.275,100,0
43.283333,100,0
43.291667,100,0
43.3,100,0
43.308333,100,0
43.316667,100,0
43.325,100,0
43.333333,100,0
43.341667,100,0
43.35,100,0
43.358333,100,0
43.366667,100,0
43.375,100,0
43.383333,100,0
43.391667,100,0
43.4,100,0
43.408333,100,0
43.416667,100,0
43.425,100,0
43.433333,100,0
43.441667,100,0
43.45,100,0
43.458333,100,0
43.466667,100,0
43.475,100,0
43.483333,100,0
43.491667,100,0
43.5,100,0
43.508333,100,0
43.516667,100,0
43.525,100,0
43.533333,100,0
43.541667,100,0
43.55,100,0
43.558333,100,0
43.566667,100,0
43.575,100,0
43.583333,100,0
43.591667,100,0
43.6,100,0
43.608333,100,0
43.616667,100,0
43.625,100,0
43.633333,100,0
43.641667,100,0
43.65,100,0
43.658333,100,0
43.666667,100,0
43.675,100,0
43.683333,100,0
43.691667,100,0
43.7,100,0
43.708333,100,0
43.716667,100,0
43.725,100,0
43.733333,100,0
43.741667,100,0
43.75,100,0
43.758333,100,0
43.766667,100,0
43.775,100,0
43.783333,100,0
43.791667,100,0
43.8,100,0
43.808333,100,0
43.816667,100,0
43.825,100,0
43.833333,100,0
43.841667,100,0
43.85,100,0
43.858333,100,0
43.866667,100,0
43.875,100,0
43.883333,100,0
43.891667,100,0
43.9,100,0
43.908333,100,0
43.916667,100,0
43.925,100,0
43.933333,100,0
43.941667,100,0
43.95,100,0
43.958333,100,0
43.966667,100,0
43.975,100,0
43.983333,100,0
43.991667,100,0
44.0,100,0
44.008333,100,0
44.016667,100,0
44.025,100,0
44.033333,100,0
44.041667,100,0
44.05,100,0
44.058333,100,0
44.066667,100,0
44.075,100,0
44.083333,100,0
44.091667,100,0
44.1,100,0
44.108333,100,0
44.116667,100,0
44.125,100,0
44.133333,100,0
44.141667,100,0
44.15,100,0
44.158333,100,0
44.166667,100,0
44.175,100,0
44.183333,100,0
44.191667,100,0
44.2,100,0
44.208333,100,0
44.216667,100,0
44.225,100,0
44.233333,100,0
44.241667,100,0
44.25,100,0
44.258333,100,0
44.266667,100,0
44.275,100,0
44.283333,100,0
44.291667,100,0
44.3,100,0
44.308333,100,0
44.316667,100,0
44.325,100,0
44.333333,100,0
44.341667,100,0
44.35,100,0
44.358333,100,0
44.366667,100,0
44.375,100,0
44.383333,100,0
44.391667,100,0
44.4,100,0
44.408333,100,0
44.416667,100,0
44.425,100,0
44.433333,100,0
44.441667,100,0
44.45,100,0
44.458333,100,0
44.466667,100,0
44.475,100,0
44.483333,100,0
44.491667,100,0
44.5,100,0
44.508333,100,0
44.516667,100,0
44.525,100,0
44.533333,100,0
44.541667,100,0
44.55,100,0
44.558333,100,0
44.566667,100,0
44.575,100,0
44.583333,100,0
44.591667,100,0
44.6,100,0
44.608333,100,0
44.616667,100,0
44.625,100,0
44.633333,100,0
44.641667,100,0
44.65,100,0
44.658333,100,0
44.666667,100,0
44.675,100,0
44.683333,100,0
44.691667,100,0
44.7,100,0
44.708333,100,0
44.716667,100,0
44.725,100,0
44.733333,100,0
44.741667,100,0
44.75,100,0
44.758333,100,0
44.766667,100,0
44.775,100,0
44.783333,100,0
44.791667,100,0
44.8,100,0
44.808333,100,0
44.816667,100,0
44.825,100,0
44.833333,100,0
44.841667,100,0
44.85,100,0
44.858333,100,0
44.866667,100,0
44.875,100,0
44.883333,100,0
44.891667,100,0
44.9,100,0
44.908333,100,0
44.916667,100,0
44.925,100,0
44.933333,100,0
44.941667,100,0
44.95,100,0
44.958333,100,0
44.966667,100,0
44.975,100,0
44.983333,100,0
44.991667,100,0
45.0,100,0
45.008333,100,0
45.016667,100,0
45.025,100,0
45.033333,100,0
45.041667,100,0
45.05,100,0
45.058333,100,0
45.066667,100,0
45.075,100,0
45.083333,100,0
45.091667,100,0
45.1,100,0
45.108333,100,0
45.116667,100,0
45.125,100,0
45.133333,100,0
45.141667,100,0
45.15,100,0
45.158333,100,0
45.166667,100,0
45.175,100,0
45.183333,100,0
45.191667,100,0
45.2,100,0
45.208333,100,0
45.216667,100,0
45.225,100,0
45.233333,100,0
45.241667,100,0
45.25,100,0
45.258333,100,0
45.266667,100,0
45.275,100,0
45.283333,100,0
45.291667,100,0
45.3,100,0
45.308333,100,0
45.316667,100,0
45.325,100,0
45.333333,100,0
45.341667,100,0
45.35,100,0
45.358333,100,0
45.366667,100,0
45.375,100,0
45.383333,100,0
45.391667,100,0
45.4,100,0
45.408333,100,0
45.416667,100,0
45.425,100,0
45.433333,100,0
45.441667,100,0
45.45,100,0
45.458333,100,0
45.466667,100,0
45.475,100,0
45.483333,100,0
45.491667,100,0
45.5,100,0
45.508333,100,0
45.516667,100,0
45.525,100,0
45.533333,100,0
45.541667,100,0
45.55,100,0
45.558333,100,0
45.566667,100,0
45.575,100,0
45.583333,100,0
45.591667,100,0
45.6,100,0
45.608333,100,0
45.616667,100,0
45.625,100,0
45.633333,100,0
45.641667,100,0
45.65,100,0
45.658333,100,0
45.666667,100,0
45.675,100,0
45.683333,100,0
45.691667,100,0
45.7,100,0
45.708333,100,0
45.716667,100,0
45.725,100,0
45.733333,100,0
45.741667,100,0
45.75,100,0
45.758333,100,0
45.766667,100,0
45.775,100,0
45.783333,100,0
45.791667,100,0
45.8,100,0
45.808333,100,0
45.816667,100,0
45.825,100,0
45.833333,100,0
45.841667,100,0
45.85,100,0
45.858333,100,0
45.866667,100,0
45.875,100,0
45.883333,100,0
45.891667,100,0
45.9,100,0
45.908333,100,0
45.916667,100,0
45.925,100,0
45.933333,100,0
45.941667,100,0
45.95,100,0
45.958333,100,0
45.966667,100,0
45.975,100,0
45.983333,100,0
45.991667,100,0
46.0,100,0
46.008333,100,0
46.016667,100,0
46.025,100,0
46.033333,100,0
46.041667,100,0
46.05,100,0
46.058333,100,0
46.066667,100,0
46.075,100,0
46.083333,100,0
46.091667,100,0
46.1,100,0
46.108333,100,0
46.116667,100,0
46.125,100,0
46.133333,100,0
46.141667,100,0
46.15,100,0
46.158333,100,0
46.166667,100,0
46.175,100,0
46.183333,100,0
46.191667,100,0
46.2,100,0
46.208333,100,0
46.216667,100,0
46.225,100,0
46.233333,100,0
46.241667,100,0
46.25,100,0
46.258333,100,0
46.266667,100,0
46.275,100,0
46.283333,100,0
46.291667,100,0
46.3,100,0
46.308333,100,0
46.316667,100,0
46.325,100,0
46.333333,100,0
46.341667,100,0
46.35,100,0
46.358333,100,0
46.366667,100,0
46.375,100,0
46.383333,100,0
46.391667,100,0
46.4,100,0
46.408333,100,0
46.416667,100,0
46.425,100,0
46.433333,100,0
46.441667,100,0
46.45,100,0
46.458333,100,0
46.466667,100,0
46.475,100,0
46.483333,100,0
46.491667,100,0
46.5,100,0
46.508333,100,0
46.516667,100,0
46.525,100,0
46.533333,100,0
46.541667,100,0
46.55,100,0
46.558333,100,0
46.566667,100,0
46.575,100,0
46.583333,100,0
46.591667,100,0
46.6,100,0
46.608333,100,0
46.616667,100,0
46.625,100,0
46.633333,100,0
46.641667,100,0
46.65,100,0
46.658333,100,0
46.666667,100,0
46.675,100,0
46.683333,100,0
46.691667,100,0
46.7,100,0
46.708333,100,0
46.716667,100,0
46.725,100,0
46.733333,100,0
46.741667,100,0
46.75,100,0
46.758333,100,0
46.766667,100,0
46.775,100,0
46.783333,100,0
46.791667,100,0
46.8,100,0
46.808333,100,0
46.816667,100,0
46.825,100,0
46.833333,100,0
46.841667,100,0
46.85,100,0
46.858333,100,0
46.866667,100,0
46.875,100,0
46.883333,100,0
46.891667,100,0
46.9,100,0
46.908333,100,0
46.916667,100,0
46.925,100,0
46.933333,100,0
46.941667,100,0
46.95,100,0
46.958333,100,0
46.966667,100,0
46.975,100,0
46.983333,100,0
46.991667,100,0
47.0,100,0
47.008333,100,0
47.016667,100,0
47.025,100,0
47.033333,100,0
47.041667,100,0
47.05,100,0
47.058333,100,0
47.066667,100,0
47.075,100,0
47.083333,100,0
47.091667,100,0
47.1,100,0
47.108333,100,0
47.116667,100,0
47.125,100,0
